iter	RMSE
486	3.921950925
487	3.918971953
488	3.917838663
489	3.917701756
490	3.915374591
491	3.913632959
492	3.912169657
493	3.910326046
494	3.907262107
495	3.903176511
496	3.900603266
497	3.897116957
498	3.89334908
499	3.889497973
500	3.884381138
501	3.881394593
502	3.878918278
503	3.876601465
504	3.872003229
505	3.870164381
506	3.867650695
507	3.862811947
508	3.861157102
509	3.860309544
510	3.86018435
511	3.856897046
512	3.856239066
513	3.854440457
514	3.852440949
515	3.850325509
516	3.850171588
517	3.847063737
518	3.84655215
519	3.843767347
520	3.842112745
521	3.838252134
522	3.834024508
523	3.83118162
524	3.829688386
525	3.825643983
526	3.821298591
527	3.818878304
528	3.816737295
529	3.813463256
530	3.811614683
531	3.811498529
532	3.808480668
533	3.805775349
534	3.802740528
535	3.800713574
536	3.798549991
537	3.797093109
538	3.796794039
539	3.794201226
540	3.791510821
541	3.78991697
542	3.787379429
543	3.783997345
544	3.78036727
545	3.778166725
546	3.775884389
547	3.772799826
548	3.772489738
549	3.770136512
550	3.769456033
551	3.767578207
552	3.764297754
553	3.763671705
554	3.762253313
555	3.759525663
556	3.755460672
557	3.754417655
558	3.752837175
559	3.75196068
560	3.750627163
561	3.746766053
562	3.745674124
563	3.743280629
564	3.74284304
565	3.739983264
566	3.737903627
567	3.736239136
568	3.733766137
569	3.730585791
570	3.729089924
571	3.726666115
572	3.72637889
573	3.726107375
574	3.724685376
575	3.724555017
576	3.723120157
577	3.721682412
578	3.719066849
579	3.717692519
580	3.715698308
581	3.713448928
582	3.713091251
583	3.712239475
584	3.711137925
585	3.710188925
586	3.708671982
587	3.7048116
588	3.701105513
589	3.699219844
590	3.698686051
591	3.698311392
592	3.696644028
593	3.6929639
594	3.691994476
595	3.690680936
596	3.690576463
597	3.686856485
598	3.68228748
599	3.679094268
600	3.678463795
601	3.676491415
602	3.675321571
603	3.674227717
604	3.672808047
605	3.667989037
606	3.667155857
607	3.665783555
608	3.66567582
609	3.66385902
610	3.662230033
611	3.660895983
612	3.659731071
613	3.657375276
614	3.654468947
615	3.652648595
616	3.65177505
617	3.648700972
618	3.64715689
619	3.643646802
620	3.640976186
621	3.637092024
622	3.633897612
623	3.6329848
624	3.631711844
625	3.629536463
626	3.626543751
627	3.624433109
628	3.623482254
629	3.620482352
630	3.618509617
631	3.617186026
632	3.61375744
633	3.613502655
634	3.61089778
635	3.610044637
636	3.607699244
637	3.605159265
638	3.603190934
639	3.60166548
640	3.598899462
641	3.597585848
642	3.594575904
643	3.593951196
644	3.590517767
645	3.586532771
646	3.583662103
647	3.582065536
648	3.5801987
649	3.577245683
650	3.571119699
651	3.570421079
652	3.569442075
653	3.566532629
654	3.564817425
655	3.562257373
656	3.561772662
657	3.559525117
658	3.55731812
659	3.555094723
660	3.551320674
661	3.549512318
662	3.548800995
663	3.546041811
664	3.544362439
665	3.543078842
666	3.541721683
667	3.540107979
668	3.539362041
669	3.53865945
670	3.537642445
671	3.53547904
672	3.534180295
673	3.53407323
674	3.530278637
675	3.528384256
676	3.527789008
677	3.527177022
678	3.526882734
679	3.52359031
680	3.52206486
681	3.520839867
682	3.520480072
683	3.518865195
684	3.516885699
685	3.515769531
686	3.51436412
687	3.513363072
688	3.51246415
689	3.508603006
690	3.507455661
691	3.506975259
692	3.50351431
693	3.501725162
694	3.499174737
695	3.498306916
696	3.49803814
697	3.497838313
698	3.496981709
699	3.495633241
700	3.49546443
701	3.491990471
702	3.488779688
703	3.486909401
704	3.483473751
705	3.481920121
706	3.480129252
707	3.477041843
708	3.474705337
709	3.471728887
710	3.470049146
711	3.468367537
712	3.466789166
713	3.464895109
714	3.464563047
715	3.462358468
716	3.459439245
717	3.458768521
718	3.455547478
719	3.454545437
720	3.45157688
721	3.44889438
722	3.446642359
723	3.443840579
724	3.442389038
725	3.441389223
726	3.438430902
727	3.437298451
728	3.43580252
729	3.433673329
730	3.432513263
731	3.431430842
732	3.430444534
733	3.430369512
734	3.427755991
735	3.425045771
736	3.421815337
737	3.419792275
738	3.419647882
739	3.418798881
740	3.418482134
741	3.418404162
742	3.417509442
743	3.416667686
744	3.414578047
745	3.413341558
746	3.411045711
747	3.409451018
748	3.406955639
749	3.406128804
750	3.40421994
751	3.401989904
752	3.400945025
753	3.399767789
754	3.398392063
755	3.397633394
756	3.395512781
757	3.394876705
758	3.391539002
759	3.389304817
760	3.388014005
761	3.386906725
762	3.386661268
763	3.385411693
764	3.384729837
765	3.384590199
766	3.381475611
767	3.381236258
768	3.378857131
769	3.375401279
770	3.372738207
771	3.370154993
772	3.369065602
773	3.368839085
774	3.368014273
775	3.367751012
776	3.365396087
777	3.365252814
778	3.36413772
779	3.362686326
780	3.361850147
781	3.360773586
782	3.358970995
783	3.358425203
784	3.357932152
785	3.356692393
786	3.355557835
787	3.352914117
788	3.351246447
789	3.350951972
790	3.350518926
791	3.350305501
792	3.347383366
793	3.345275801
794	3.345174691
795	3.344520378
796	3.343892584
797	3.342683635
798	3.342313024
799	3.34106737
800	3.337902048
801	3.335052527
802	3.334494887
803	3.333250716
804	3.331437188
805	3.331371646
806	3.328859233
807	3.326139457
808	3.325464312
809	3.325227934
810	3.32341231
811	3.321244341
812	3.321001307
813	3.320538407
814	3.319368123
815	3.318487372
816	3.31655518
817	3.315494867
818	3.314524967
819	3.313449538
820	3.31176865
821	3.310376097
822	3.309025598
823	3.306401996
824	3.305488617
825	3.305161863
826	3.304994009
827	3.304284022
828	3.303978115
829	3.302192541
830	3.301389987
831	3.299931457
832	3.299664037
833	3.298967241
834	3.297722928
835	3.297260055
836	3.295004069
837	3.293686453
838	3.290470904
839	3.289670172
840	3.289424641
841	3.288605235
842	3.288040232
843	3.286485323
844	3.28471439
845	3.283456141
846	3.281817814
847	3.280635537
848	3.27819279
849	3.277325452
850	3.275775254
851	3.274326583
852	3.273177001
853	3.271654377
854	3.270885467
855	3.270184027
856	3.269872105
857	3.268343337
858	3.266582189
859	3.265267086
860	3.264950438
861	3.264720135
862	3.263924947
863	3.262867169
864	3.261337508
865	3.259829927
866	3.259202515
867	3.256563397
868	3.254433733
869	3.253170054
870	3.251746709
871	3.251420301
872	3.250372764
873	3.249202044
874	3.247749641
875	3.245648425
876	3.243189909
877	3.243097788
878	3.242564364
879	3.240837616
880	3.239825607
881	3.238767791
882	3.238079486
883	3.237466349
884	3.236781009
885	3.234571808
886	3.233893528
887	3.233844367
888	3.231489513
889	3.230564757
890	3.227854553
891	3.227661485
892	3.227080379
893	3.224767777
894	3.224130584
895	3.222649948
896	3.22212017
897	3.220312448
898	3.219028505
899	3.218492132
900	3.217862545
901	3.215981508
902	3.212920959
903	3.210055504
904	3.209016994
905	3.208002065
906	3.207772006
907	3.207083005
908	3.204865757
909	3.20399016
910	3.203467252
911	3.201969634
912	3.201301508
913	3.199301641
914	3.195403969
915	3.193874281
916	3.191617524
917	3.190584418
918	3.187616247
919	3.186979184
920	3.185176195
921	3.183500461
922	3.183153395
923	3.182440339
924	3.181901822
925	3.18028472
926	3.177932902
927	3.176161969
928	3.175372064
929	3.174748191
930	3.17262981
931	3.171284532
932	3.170218971
933	3.168886007
934	3.16795417
935	3.165871462
936	3.165356969
937	3.16265782
938	3.161905983
939	3.161392565
940	3.160816935
941	3.160763265
942	3.160033701
943	3.159171056
944	3.156968214
945	3.156268359
946	3.155740802
947	3.155707976
948	3.153736254
949	3.151397251
950	3.150150033
951	3.148011989
952	3.145459633
953	3.140715649
954	3.138197461
955	3.136727207
956	3.135805399
957	3.134864829
958	3.132902314
959	3.131351323
960	3.130687851
961	3.127814676
962	3.125479331
963	3.125058286
964	3.124248362
965	3.123180792
966	3.122905341
967	3.121957048
968	3.120331175
969	3.118878299
970	3.116970688
971	3.11484227
972	3.112475655
973	3.109929946
974	3.10792778
975	3.105266046
976	3.104496412
977	3.10289584
978	3.101224988
979	3.100288902
980	3.098590193
981	3.096417154
982	3.094095983
983	3.090662708
984	3.0882665
985	3.087050192
986	3.0865655
987	3.08553313
988	3.084488385
989	3.082912694
990	3.081579927
991	3.08033712
992	3.079457473
993	3.078279593
994	3.07812438
995	3.077060611
996	3.076948219
997	3.075337181
998	3.072700588
999	3.071741477
